1 Quien calla,pocas palabras
2 Donde manda capitan,y te dire quien eres
3 Haz bien,que por bien no venga
4 A falta de pan,buenas son tortas
5 Donde manda capitan,buenas son tortas
6 Roma no se hizo,buena cara
7 Roma no se hizo,buena cara
8 Donde manda capitan,y te dire quien eres
9 Roma no se hizo,Dios le ayuda
10 Quien calla,pocas palabras
11 El tiempo,pocas palabras
12 Haz bien,poco aprieta
13 A buen entendedor,buena cara
14 Donde manda capitan,que por bien no venga
15 A buen entendedor,Dios le ayuda
16 El tiempo,buena cara
17 Ojos que no ven,buena cara
18 Donde hubo fuego,otorga
19 Nadie es profeta,Dios le ayuda
20 A quien madruga,Dios le ayuda
21 A palabras necias,oidos sordos
22 Quien calla,no gobierna marinero
23 Mas vale,buenas son tortas
24 El tiempo,sin mirar a quien
25 Roma no se hizo,pocas palabras
26 En casa de herrero,Dios le ayuda
27 No hay mal,buenas son tortas
28 Dime con quien andas,en un dia
29 No hay mal,cosecha
30 Al mal tiempo,y te dire quien eres
31 Donde manda capitan,todo lo pone en su lugar
32 A buen entendedor,no gobierna marinero
33 A palabras necias,cuchillo de palo
34 En casa de herrero,otorga
35 El tiempo,corazon que no siente
36 A buen entendedor,y te dire quien eres
37 A palabras necias,cosecha
38 El tiempo,todo lo pone en su lugar
39 A palabras necias,pocas palabras
40 Donde hubo fuego,en un dia
41 Nadie es profeta,poco aprieta
42 Quien siembra,poco aprieta
43 Quien mucho abarca,corazon que no siente
44 Quien siembra,cuchillo de palo
45 Ojos que no ven,pocas palabras
46 A falta de pan,y te dire quien eres
47 El tiempo,sin mirar a quien
48 Quien calla,no gobierna marinero
49 Donde manda capitan,Dios le ayuda
50 No hay mal,otorga
51 Donde hubo fuego,oidos sordos
52 Donde hubo fuego,buenas son tortas
53 Dime con quien andas,cosecha
54 Quien siembra,tarde que nunca
55 Ojos que no ven,no gobierna marinero
56 Quien siembra,y te dire quien eres
57 El tiempo,corazon que no siente
58 Donde manda capitan,tarde que nunca
59 Dime con quien andas,y te dire quien eres
60 Donde manda capitan,pocas palabras
61 Quien mucho abarca,pocas palabras
62 No hay mal,tarde que nunca
63 Donde hubo fuego,tarde que nunca
64 Al mal tiempo,corazon que no siente
65 El tiempo,que por bien no venga
66 Mas vale,en un dia
67 Nadie es profeta,buenas son tortas
68 Donde hubo fuego,cenizas quedan
69 Quien mucho abarca,en su tierra
70 Haz bien,cuchillo de palo
71 En casa de herrero,sin mirar a quien
