1 Estudio de Toy Story? | A) Pixar | B) DreamWorks | C) Illumination,A
2 Unidad SI de fuerza? | A) Pascal | B) Newton | C) Joule,B
3 Gol en tenis se llama? | A) Gol | B) Punto | C) Canasta,B
4 Estacion posterior a la primavera en el hemisferio sur? | A) Verano | B) Otono | C) Invierno,C
5 Pais sede del Mundial FIFA 2014? | A) Sudafrica | B) Brasil | C) Alemania,B
6 Boya de colores en el mar indica? | A) Surf | B) Pesca | C) Senalizacion,C
7 Libertador de Chile? | A) Manuel Rodriguez | B) Bernardo O Higgins | C) Jose de San Martin,B
8 Primer hombre en pisar la Luna? | A) Yuri Gagarin | B) Neil Armstrong | C) Buzz Aldrin,B
9 Lider de la independencia de la India con no violencia? | A) Jinnah | B) Gandhi | C) Nehru,B
10 Lengua con mas hablantes nativos? | A) Espanol | B) Ingles | C) Chino mandarin,C
11 Imperio de Julio Cesar? | A) Romano | B) Griego | C) Persa,A
12 Proceso por el cual las plantas producen alimento? | A) Fermentacion | B) Respiracion | C) Fotosintesis,C
13 Compositor de Fur Elise? | A) Mozart | B) Beethoven | C) Bach,B
14 Gas mas abundante del aire? | A) Dioxido de carbono | B) Oxigeno | C) Nitrogeno,C
15 La NBA corresponde a? | A) Hockey | B) Baloncesto | C) Beisbol,B
16 Cristiano Ronaldo es originario de? | A) Portugal | B) Espana | C) Brasil,A
17 Lengua con mas hablantes nativos? | A) Ingles | B) Chino mandarin | C) Espanol,B
18 Unidad SI de fuerza? | A) Newton | B) Pascal | C) Joule,A
19 Deporte principal de Michael Jordan? | A) Beisbol | B) Baloncesto | C) Futbol americano,B
20 Lengua oficial de Brasil? | A) Espanol | B) Ingles | C) Portugues,C
21 Pais sede del Mundial FIFA 2014? | A) Brasil | B) Sudafrica | C) Alemania,A
22 Proceso por el cual las plantas producen alimento? | A) Fermentacion | B) Respiracion | C) Fotosintesis,C
23 Primer hombre en pisar la Luna? | A) Neil Armstrong | B) Yuri Gagarin | C) Buzz Aldrin,A
